"","ClusterID","TID","X","Y","V","Movie","Type","ID","StepX","StepY","State"
"147","4","3",137.245,142.375,0.351,"20180206","non-invader","20180206-4-3-non-invader",1.38200000000001,0.0389999999999873,"1"
"148","4","3",135.645,142.212,0.408,"20180206","non-invader","20180206-4-3-non-invader",1.59999999999999,0.163000000000011,"1"
"149","4","3",132.516,141.79,0.801,"20180206","non-invader","20180206-4-3-non-invader",3.12900000000002,0.421999999999997,"1"
"150","4","3",131.059,141.665,0.371,"20180206","non-invader","20180206-4-3-non-invader",1.45699999999999,0.125,"1"
"165","4","3",132.412,141.385,0.155,"20180206","non-invader","20180206-4-3-non-invader",0.611999999999995,0.0180000000000007,"1"
"177","4","3",133.873,140.843,0.205,"20180206","non-invader","20180206-4-3-non-invader",0.768999999999977,0.245000000000005,"1"
"178","4","3",135.096,140.696,0.312,"20180206","non-invader","20180206-4-3-non-invader",1.22300000000001,0.146999999999991,"1"
"179","4","3",136.983,140.786,0.48,"20180206","non-invader","20180206-4-3-non-invader",1.887,0.0900000000000034,"1"
"180","4","3",138.21,141.051,0.319,"20180206","non-invader","20180206-4-3-non-invader",1.227,0.264999999999986,"1"
"181","4","3",141.459,141.316,0.827,"20180206","non-invader","20180206-4-3-non-invader",3.249,0.265000000000015,"1"
"182","4","3",142.005,141.04,0.155,"20180206","non-invader","20180206-4-3-non-invader",0.545999999999992,0.27600000000001,"1"
"183","4","3",142.398,140.92,0.104,"20180206","non-invader","20180206-4-3-non-invader",0.393000000000001,0.120000000000005,"1"
"185","4","3",143.282,140.27,0.186,"20180206","non-invader","20180206-4-3-non-invader",0.562000000000012,0.472999999999985,"1"
"186","4","3",143.94,139.786,0.207,"20180206","non-invader","20180206-4-3-non-invader",0.657999999999987,0.484000000000009,"1"
"187","4","3",144.513,139.114,0.224,"20180206","non-invader","20180206-4-3-non-invader",0.573000000000008,0.671999999999997,"1"
"188","4","3",144.953,138.209,0.255,"20180206","non-invader","20180206-4-3-non-invader",0.439999999999998,0.905000000000001,"1"
"189","4","3",144.909,137.601,0.155,"20180206","non-invader","20180206-4-3-non-invader",0.0440000000000111,0.608000000000004,"1"
"190","4","3",143.626,136.613,0.411,"20180206","non-invader","20180206-4-3-non-invader",1.28299999999999,0.988,"1"
